ObjectId,DisplayName,UserPrincipalName
17aba01e-8833-4041-a608-ff6ad5506d72,Adil Eli,AdilE@M365CPI95634428.OnMicrosoft.com
0122cf8e-0ef7-4691-986a-4ae828a290e4,Amber Rodriguez,AmberR@M365CPI95634428.OnMicrosoft.com
9b12ada2-424f-4dad-95ce-619d4576d056,Billie Vester,BillieV@M365CPI95634428.OnMicrosoft.com
c5c4dc3c-5ab9-4ebf-bc1c-40cbcf48bd81,Cora Thomas,CoraT@M365CPI95634428.OnMicrosoft.com
fb0ed5cc-c9ad-49bc-8068-913e214cd95c,Corey Gray,CoreyG@M365CPI95634428.OnMicrosoft.com
d6610695-1cc8-45ed-912b-3a1f0491e5fd,Daichi Maruyama,DaichiM@M365CPI95634428.OnMicrosoft.com
9057aeeb-5bc8-4888-9f55-66f7c45264bf,Dakota Sanchez,DakotaS@M365CPI95634428.OnMicrosoft.com
73207948-ff18-4d50-9afb-f6b45ce70a8b,Eka Siahaan,EkaS@M365CPI95634428.OnMicrosoft.com
db40bd74-36d1-4580-928f-463dc79ee1a5,Hadar Caspit,HadarC@M365CPI95634428.OnMicrosoft.com
234659e0-51cb-4c72-a6a6-d036d46a0721,Kai Carter,KaiC@M365CPI95634428.OnMicrosoft.com
d4df9f38-fc19-4855-88cc-9c08c221ee5e,Lisa Taylor,LisaT@M365CPI95634428.OnMicrosoft.com
74c54fdd-7f50-4fc5-a600-a9a56a016692,Mario Rogers,MarioR@M365CPI95634428.OnMicrosoft.com
f63ffdb5-5170-4252-b4f6-0fd343539c3a,MOD Administrator,admin@M365CPI95634428.onmicrosoft.com
224b170d-d618-4673-a1a9-b6958b9e44c1,Monica Thompson,MonicaT@M365CPI95634428.OnMicrosoft.com
a02ec2cd-2f69-4c80-b93c-1e272d0b9ea0,Omar Bennett,OmarB@M365CPI95634428.OnMicrosoft.com
88f3a283-c774-4cfb-9f6f-6e2a7ff2a973,Peyton Davis,PeytonD@M365CPI95634428.OnMicrosoft.com
5d398c43-3feb-4073-ad3d-bd8abaabe67c,Quinn Campbell,QuinnC@M365CPI95634428.OnMicrosoft.com
858ac54b-adab-403a-a5a5-ab65d1aed240,Robin Kline,RobinK@M365CPI95634428.OnMicrosoft.com
b19f48ec-d2d6-4d5e-bc75-3560f62476a7,Ronak Gupta,RonakG@M365CPI95634428.OnMicrosoft.com
c100bbbb-b546-4dc4-ad9c-e7aa5d495c61,Sasha Ouellet,SashaO@M365CPI95634428.OnMicrosoft.com
bb26b4cc-605c-43df-9670-3b0adea213bf,Sonia Rees,SoniaR@M365CPI95634428.OnMicrosoft.com
137aa8f2-0264-4433-ac7b-7a3ecd195db8,Sydney Mattos,SydneyM@M365CPI95634428.OnMicrosoft.com
514cadfe-3752-4dd3-9c69-865abc497042,Teresa Sac,TeresaS@M365CPI95634428.OnMicrosoft.com
83d17388-9457-4b35-8b11-b272dc6fbcb9,Vance DeLeon,VanceD@M365CPI95634428.OnMicrosoft.com
1e035a17-95e0-4bef-a2fd-3bab8205e15d,William Beringer,WillB@M365CPI95634428.OnMicrosoft.com
